582A;0000392;00000000;*;*;*;*;*;01.09.2017-10:36;0000392;*;*;01.09.2017-13:07
582A;0000394;00000001;*;*;*;*;*;01.09.2017-10:48;0000394;*;*;01.09.2017-13:12
582A;54491472;00000002;*;*;*;*;*;02.09.2017-15:53;54491472;*;*;02.09.2017-16:07
582A;5900334008206;00000003;*;*;*;*;*;02.09.2017-18:08;5900334008206;*;*;*
